retailer,column,dtype,rows,missing_count,missing_pct,unique_count
ASDA,supermarket,str,2456414,0,0.0,1
ASDA,prices_(£),float64,2456414,7,0.0003,826
ASDA,prices_unit_(£),float64,2456414,199,0.0081,2819
ASDA,unit,str,2456414,199,0.0081,4
ASDA,names,str,2456414,26,0.0011,32660
ASDA,date,int64,2456414,0,0.0,92
ASDA,category,str,2456414,0,0.0,11
ASDA,own_brand,object,2456414,26,0.0011,2
Aldi,supermarket,str,464863,0,0.0,1
Aldi,prices_(£),float64,464863,0,0.0,272
Aldi,prices_unit_(£),float64,464863,4,0.0009,1156
Aldi,unit,str,464863,4,0.0009,4
Aldi,names,str,464863,0,0.0,7262
Aldi,date,int64,464863,0,0.0,92
Aldi,category,str,464863,0,0.0,10
Aldi,own_brand,bool,464863,0,0.0,2
Morrisons,supermarket,str,1794065,0,0.0,1
Morrisons,prices_(£),float64,1794065,0,0.0,800
Morrisons,prices_unit_(£),float64,1794065,110,0.0061,2507
Morrisons,unit,str,1794065,110,0.0061,4
Morrisons,names,str,1794065,0,0.0,26187
Morrisons,date,int64,1794065,0,0.0,92
Morrisons,category,str,1794065,0,0.0,11
Morrisons,own_brand,bool,1794065,0,0.0,2
Sains,supermarket,str,2600289,0,0.0,1
Sains,prices_(£),float64,2600289,0,0.0,846
Sains,prices_unit_(£),float64,2600289,209,0.008,3014
Sains,unit,str,2600289,209,0.008,4
Sains,names,str,2600289,0,0.0,33886
Sains,date,int64,2600289,0,0.0,92
Sains,category,str,2600289,0,0.0,11
Sains,own_brand,bool,2600289,0,0.0,2
Tesco,supermarket,str,2213611,0,0.0,1
Tesco,prices_(£),float64,2213611,0,0.0,951
Tesco,prices_unit_(£),float64,2213611,2,0.0001,3104
Tesco,unit,str,2213611,2,0.0001,4
Tesco,names,str,2213611,0,0.0,30637
Tesco,date,int64,2213611,0,0.0,91
Tesco,category,str,2213611,0,0.0,10
Tesco,own_brand,bool,2213611,0,0.0,2
