names,supermarket,date,duplicate_count,retailer_file
Palmer's Shea Formula Raw Shea Body Lotion,ASDA,20240413,2,ASDA
Whiskas 1+ Tuna Adult Dry Cat Food,ASDA,20240413,2,ASDA
1 Marigold Extra Life Gloves Kitchen Large,Tesco,20240115,2,Tesco
TESCO NATURAL SEERSUCKER DUVET SET DOUBLE,Tesco,20240115,2,Tesco
TESCO RED POTATOES 2KG,Tesco,20240115,2,Tesco
TESCO PLANT CHEF FISH-FREE GOUJONS 250G,Tesco,20240115,2,Tesco
TESCO PLANT CHEF CRISPY NO-CHICKEN NUGGETS 180G,Tesco,20240115,2,Tesco
TESCO PLANT CHEF 2 SOUTHERN FRIED FILLETS 230G,Tesco,20240115,2,Tesco
TESCO PLANT CHEF 2 NO-CHICKEN GARLIC KIEVS 270G,Tesco,20240115,2,Tesco
TESCO PLANT CHEF 2 MEAT FREE SOUTHERN FRIED FILLETS 230G,Tesco,20240115,2,Tesco
TESCO ORGANIC SQUEEZY CLEAR HONEY 340G,Tesco,20240115,2,Tesco
TESCO NAVY DITSY FLORAL DUVET SET SINGLE,Tesco,20240115,2,Tesco
TESCO NAVY DITSY FLORAL DUVET SET DOUBLE,Tesco,20240115,2,Tesco
TESCO MICRO USB 1M SYNC & CHARGE CABLE,Tesco,20240115,2,Tesco
TESCO FINEST ITALIAN FOUR CHEESE WOOD FIRED PIZZA 430g,Tesco,20240115,2,Tesco
TESCO KING EDWARDS POTATOES 2KG,Tesco,20240115,2,Tesco
TESCO HOT CHOCOLATE CHEESECAKE 450G,Tesco,20240115,2,Tesco
TESCO GREEN FRILL DUVET SET DOUBLE,Tesco,20240115,2,Tesco
TESCO GARLIC & GINGER PASTE 95G,Tesco,20240115,2,Tesco
TESCO FINEST SPICY CHICKEN & CHARGRRILLED PEPPER WOOD FIRED PIZZA 450g,Tesco,20240115,2,Tesco
TESCO FINEST ROAST CHICKEN GRAVY 500G,Tesco,20240115,2,Tesco
TESCO FINEST PEPPERCORN SAUCE 180G,Tesco,20240115,2,Tesco
