name_normalised_audit,raw_name_variants,example_names,rows,retailer_file
always discreet incontinence pads long for sensitive bladder,2,Always Discreet Incontinence Pads  Long for Sensitive Bladder | Always Discreet Incontinence Pads Long For Sensitive Bladder,184,ASDA
asda super non applicator tampons,2,ASDA Super Non-Applicator Tampons | ASDA Super+ Non-Applicator Tampons,184,ASDA
gold leaf jps quality blend tobacco includes cigarette papers,2,Gold Leaf JPS Quality Blend Tobacco Includes Cigarette Papers | Gold Leaf JPS Quality Blend Tobacco includes Cigarette Papers,184,ASDA
lenor unstoppables in wash scent booster fresh,2,"Lenor Unstoppables In-Wash Scent Booster Fresh | Lenor Unstoppables In-Wash Scent Booster, Fresh",182,ASDA
asda chow mein stir fry sauce,2,ASDA Chow Mein Stir Fry Sauce | ASDA Chow Mein Stir-Fry Sauce,180,ASDA
colourburst tools with flare,2,ColourBurst Tools with Flare | ColourBurst Tools with flare,180,ASDA
innocent tropical juice,2,Innocent Tropical Juice | Innocent tropical juice,180,ASDA
oral b 3dwhite luxe perfection toothpaste,2,Oral B 3DWhite Luxe Perfection Toothpaste | Oral-B 3DWhite Luxe Perfection Toothpaste,180,ASDA
pantene pro v repair protect shampoo for damaged hair,2,"Pantene Pro-V Repair & Protect Shampoo For Damaged Hair | Pantene Pro-V Repair & Protect Shampoo, For Damaged Hair",180,ASDA
spam chopped pork and ham,2,Spam Chopped Pork And Ham | Spam Chopped Pork and Ham,180,ASDA
george home non stick aluminium saucepan and lid,2,George Home Non-Stick Aluminium Saucepan and Lid | George Home Non-stick Aluminium Saucepan and Lid,178,ASDA
george home non stick aluminium stockpot,2,George Home Non-Stick Aluminium Stockpot | George Home Non-stick Aluminium Stockpot,178,ASDA
george home stainless steel stockpot,2,George Home Stainless Steel Stockpot | George Home Stainless-steel Stockpot,178,ASDA
pampers baby dry size 5 nappies jumbo pack,2,Pampers Baby-Dry Size 5 Nappies Jumbo+ Pack | Pampers Baby-Dry Size 5+ Nappies Jumbo+ Pack,178,ASDA
asda flavourful reduced fat beef steak mince typically less than 12 fat,2,ASDA Flavourful Reduced Fat Beef Steak Mince (Typically Less Than 12% Fat) | ASDA Flavourful Reduced Fat Beef Steak Mince (Typically Less than 12% Fat),177,ASDA
asda tech usb a to usb c cable black 0 9m,2,ASDA Tech USB-A to USB-C Cable - Black 0.9M | ASDA Tech USB-A to USB-C Cable - Black 0.9m,177,ASDA
indus ginger powder soudh,2,Indus Ginger Powder (Soudh) | Indus Ginger Powder Soudh,174,ASDA
kendamil first infant milk 1 from birth,2,Kendamil First Infant Milk 1 From Birth | Kendamil First Infant Milk 1 from Birth,174,ASDA
mitchum advanced men 48hr protection ice fresh anti perspirant deodorant,2,Mitchum Advanced Men 48HR Protection Ice Fresh Anti-Perspirant & Deodorant | Mitchum Advanced Men 48hr Protection Ice Fresh Anti-Perspirant & Deodorant,174,ASDA
sma pro first infant milk from birth ready to drink,2,SMA PRO First Infant Milk From Birth Ready to Drink | SMA PRO First Infant Milk from Birth Ready to Drink,174,ASDA
bramwells chicken noodle soup 400g,2,Bramwells Chicken & Noodle Soup 400g | Bramwells Chicken Noodle Soup 400g,161,Aldi
specially selected dry cured smoked streaky bacon 240g,2,Specially Selected Dry Cured Smoked Streaky Bacon 240g | Specially Selected Dry Cured Smoked Streaky Bacon 240g/,120,Aldi
